nameEn,nameTc,nameSc,performanceTime,duration,filmEventTypeId,stockLabel,facilityNameTc
"The Lovers on the Bridge","新橋之戀","新桥之恋",1744983000000,"125 /分鐘",0,4,"香港藝術中心古天樂電影院"
"Lust in the Rain","雨中的慾情","雨中的欲情",1744551000000,"132 /分鐘",4,1,"PREMIERE Elements 1院"
"Lust in the Rain","雨中的慾情","雨中的欲情",1744896600000,"132 /分鐘",4,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Man's Castle","男性的慰藉","男性的慰藉",1744884000000,"78 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Man's Castle","男性的慰藉","男性的慰藉",1745064000000,"78 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"MaXXXine","血腥瑪辛","血腥玛辛",1744950600000,"103 /分鐘",0,1,"PREMIERE Elements 1院"
"MaXXXine","血腥瑪辛","血腥玛辛",1745157600000,"103 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Maya, Give Me a Title","爸爸的動畫家課","爸爸的动画家课",1744545600000,"62 /分鐘",0,1,"PREMIERE Elements 1院"
"Maya, Give Me a Title","爸爸的動畫家課","爸爸的动画家课",1745037000000,"62 /分鐘",0,1,"PREMIERE Elements 1院"
"Megalopolis","超級大都會","超级大都会",1744637400000,"138 /分鐘",4,3,"PREMIERE Elements 1院"
"Megalopolis","超級大都會","超级大都会",1745152200000,"138 /分鐘",4,1,"香港文化中心大劇院"
"Memoir of a Snail","蝸牛女回憶錄","蜗牛女回忆录",1744715700000,"94 /分鐘",0,1,"香港文化中心大劇院"
"Memoir of a Snail","蝸牛女回憶錄","蜗牛女回忆录",1744950600000,"94 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Message","聽牠怎麼說","听牠怎麽说",1744443000000,"91 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Message","聽牠怎麼說","听牠怎麽说",1745046000000,"91 /分鐘",0,1,"PREMIERE Elements 7院"
"Misericordia","基本慈悲","基本慈悲",1744627500000,"102 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Misericordia","基本慈悲","基本慈悲",1744864200000,"102 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Monk in Pieces","蒙克音聲拼圖","蒙克音声拼图",1744795800000,"94 /分鐘",0,1,"WESTK M+戲院"
"Monk in Pieces","蒙克音聲拼圖","蒙克音声拼图",1744975800000,"94 /分鐘",0,1,"PREMIERE Elements 7院"
"Montages of a Modern Motherhood","虎毒不","虎毒不",1744464600000,"112 /分鐘",0,3,"香港文化中心大劇院"
"Montages of a Modern Motherhood","虎毒不","虎毒不",1744525800000,"112 /分鐘",0,4,"PREMIERE Elements 1院"
"Murdering the Devil","謀殺獨食魔","谋杀独食魔",1744640100000,"72 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Murdering the Devil","謀殺獨食魔","谋杀独食魔",1745143200000,"72 /分鐘",0,1,"PREMIERE Elements 1院"
"My Heart is That Eternal Rose","殺手蝴蝶夢","杀手蝴蝶梦",1744450200000,"90 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"My Heart Is That Eternal Rose","殺手蝴蝶夢","杀手蝴蝶梦",1744864200000,"90 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Naked Ambition","豪情","豪情",1744518600000,"121 /分鐘",4,4,"香港藝術中心古天樂電影院"
"Never Too Late","早鳥","早鸟",1744458300000,"80 /分鐘",0,4,"PREMIERE Elements 1院"
"Never Too Late","早鳥","早鸟",1744890300000,"80 /分鐘",0,1,"PREMIERE Elements 7院"
"The New Year That Never Came","壽西斯古新年快落","寿西斯古新年快落",1744290900000,"138 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"The New Year That Never Came","壽西斯古新年快落","寿西斯古新年快落",1744604100000,"138 /分鐘",0,4,"PREMIERE Elements 7院"
"Of Dogs and Men","戰場上的尋犬少女","战场上的寻犬少女",1744622100000,"82 /分鐘",0,1,"PREMIERE Elements 1院"
"Of Dogs and Men","戰場上的尋犬少女","战场上的寻犬少女",1744803900000,"82 /分鐘",0,1,"PREMIERE Elements 7院"
"On Becoming a Guinea Fowl","舅舅葬禮的背後","舅舅葬礼的背后",1744355700000,"99 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"On Becoming a Guinea Fowl","舅舅葬禮的背後","舅舅葬礼的背后",1745156700000,"99 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Once Upon a Time Michel Legrand","法國曼妙之音：米修勒格朗","法国曼妙之音：米修勒格朗",1744698600000,"110 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Once Upon a Time Michel Legrand","法國曼妙之音：米修勒格朗","法国曼妙之音：米修勒格朗",1744892100000,"110 /分鐘",0,1,"WESTK M+戲院"
"On Falling","下流偷生族","下流偷生族",1744707600000,"104 /分鐘",0,1,"PREMIERE Elements 7院"
"On Falling","下流偷生族","下流偷生族",1744984800000,"104 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"An Oscillating Shadow","迴蕩今昔的陰影","回荡今昔的阴影",1744799400000,"77 /分鐘",0,1,"香港藝術中心古天樂電影院"
"An Oscillating Shadow","迴蕩今昔的陰影","回荡今昔的阴影",1744957800000,"77 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Pacifiction","太平洋危險人物","太平洋危险人物",1744605000000,"162 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Pacifiction","太平洋危險人物","太平洋危险人物",1744964100000,"162 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Paradox","殺破狼．貪狼","杀破狼．贪狼",1745044200000,"100 /分鐘",0,4,"香港文化中心大劇院"
"Parthenope","拿坡里的美麗傳說","拿坡里的美丽传说",1744290900000,"137 /分鐘",4,4,"PREMIERE Elements 1院"
"Parthenope","拿坡里的美麗傳說","拿坡里的美丽传说",1744714800000,"137 /分鐘",4,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Paul","身心靈清潔師","身心灵清洁师",1744785900000,"87 /分鐘",4,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Paul","身心靈清潔師","身心灵清洁师",1745147700000,"87 /分鐘",4,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Pavane for an Infant","搖籃凡世","摇篮凡世",1744293000000,"116 /分鐘",0,4,"香港文化中心大劇院"
"Pavane for an Infant","搖籃凡世","摇篮凡世",1744448400000,"116 /分鐘",0,4,"PREMIERE Elements 1院"
"Peacock","全職偽人","全职伪人",1744897500000,"102 /分鐘",0,4,"PREMIERE Elements 7院"
"Peacock","全職偽人","全职伪人",1745061300000,"102 /分鐘",0,4,"PREMIERE Elements 7院"
"Perfumed with Mint","薄荷的香味","薄荷的香味",1744871400000,"111 /分鐘",0,1,"PREMIERE Elements 7院"
"Perfumed with Mint","薄荷的香味","薄荷的香味",1745123400000,"111 /分鐘",0,1,"PREMIERE Elements 7院"
"Phantosmia","幽靈的味道","幽灵的味道",1745044200000,"246 /分鐘",0,1,"香港大會堂劇院"
"Pépé le Moko","逃犯貝貝","逃犯贝贝",1744552800000,"94 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"Pépé le Moko","逃犯貝貝","逃犯贝贝",1744882200000,"94 /分鐘",0,1,"WESTK M+戲院"
"PTU","PTU","PTU",1744527600000,"91 /分鐘",0,4,"PREMIERE Elements 7院"
"PTU","PTU","PTU",1744965900000,"91 /分鐘",0,4,"香港藝術中心古天樂電影院"
"Queer","以你的酷愛垮掉我","以你的酷爱垮掉我",1744537500000,"135 /分鐘",4,1,"香港文化中心大劇院"
"Queer","以你的酷愛垮掉我","以你的酷爱垮掉我",1744713900000,"135 /分鐘",4,4,"PREMIERE Elements 1院"
"Quiet Life","放棄生存症候群","放弃生存症候群",1744358400000,"99 /分鐘",0,1,"PREMIERE Elements 1院"
