group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
SIFF经典-4K 修复,23276,金玉满堂 (4K),THE CHINESE FEAST (4K),6月16日,周一,20:40,,107分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,徐克,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22603,异邦人：无皇刃谭 (4K),SWORD OF THE STRANGER (4K),6月16日,周一,13:00,,102分钟,天山电影院-虹桥艺术中心旗舰店,剧院厅,安藤真裕,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22786,谋杀绿脚趾 (4K),THE BIG LEBOWSKI (4K),6月16日,周一,20:40,,117分钟,沪北电影院,1号厅,"乔尔·科恩, 伊桑·科恩","美国,英国",4K,N/A,普通场,N/A
SIFF经典-4K 修复,22369,家有囍事（修复加长版）(4K),"ALL'S WELL, ENDS WELL  (4K)",6月17日,周二,13:00,,106分钟,上海大光明电影院,1号厅,高志森,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22370,金玉满堂 (4K),THE CHINESE FEAST (4K),6月17日,周二,15:30,,107分钟,上海大光明电影院,1号厅,徐克,中国香港,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22371,巴里·林登 (4K),BARRY LYNDON (4K),6月17日,周二,18:30,,185分钟,上海大光明电影院,1号厅,斯坦利·库布里克,"英国,美国",4K,彩色,普通场,本片含一个15分钟的场间休息
SIFF经典-4K 修复,22912,谋杀绿脚趾 (4K),THE BIG LEBOWSKI (4K),6月17日,周二,20:40,,117分钟,天山电影院-宛平剧院影城,1号厅,"乔尔·科恩, 伊桑·科恩","美国,英国",4K,N/A,普通场,N/A
SIFF经典-4K 修复,24570,夜 (4K),THE NIGHT (4K),6月17日,周二,18:00,,123分钟,天山电影院-宛平剧院影城,1号厅,米开朗基罗·安东尼奥尼,"意大利,法国",4K,黑白,普通场,N/A
SIFF经典-4K 修复,22611,日落大道 (4K),SUNSET BOULEVARD (4K),6月17日,周二,18:30,,110分钟,天山电影院-虹桥艺术中心旗舰店,剧院厅,比利·怀尔德,美国,4K,黑白,普通场,N/A
SIFF经典-4K 修复,22250,扶桑花女孩 (4K),HULA GIRLS (4K),6月17日,周二,15:30,,121分钟,曹杨影城,1号4K激光厅,李相日,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,23809,小河马雨果 (4K),HUGO THE HIPPO (4K),6月18日,周三,18:30,,91分钟,上影BOE-α超级影城（美罗城店）,4号厅,"比尔·费根鲍姆, 约瑟夫·杰梅斯","匈牙利,美国",4K,彩色,普通场,N/A
